"","plant_sp","site","year","week_num","block","species","common.NAme","tot_flw","avg_flor_area","tot_flor_area","avg_tall_flw","per_tar_cov","avg_fw","bloom_prd","chroma","hue","categorical","pol.unit","nectar"
"120","ASTU","SWMREC",2016,26,1,"Asclepias tuberosa","Butterfly Milkweed",1673.2,0.6646,1112.00872,53,"65",0.64,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"121","ASTU","SWMREC",2016,26,4,"Asclepias tuberosa","Butterfly Milkweed",1231.2,0.6646,818.25552,36,"60",0.64,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"122","ASTU","CRC",2015,30,3,"Asclepias tuberosa","Butterfly Milkweed",269,0.6646,178.7774,51,"30",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"123","ASTU","CRC",2015,31,3,"Asclepias tuberosa","Butterfly Milkweed",685,0.6646,455.251,56,"35",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"124","ASTU","CRC",2016,29,1,"Asclepias tuberosa","Butterfly Milkweed",816,0.6646,542.3136,54.5,"80",0.96,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"125","ASTU","CRC",2015,30,2,"Asclepias tuberosa","Butterfly Milkweed",196,0.6646,130.2616,41,"60",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"126","ASTU","CRC",2016,29,3,"Asclepias tuberosa","Butterfly Milkweed",1574.4,0.6646,1046.34624,41,"40",0.96,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"127","ASTU","SWMREC",2016,27,2,"Asclepias tuberosa","Butterfly Milkweed",1512,0.6646,1004.8752,49,"40",0.64,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"128","ASTU","SWMREC",2016,28,2,"Asclepias tuberosa","Butterfly Milkweed",624,0.6646,414.7104,48.5,"45",0.64,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"129","ASTU","NWMHRC",2015,30,3,"Asclepias tuberosa","Butterfly Milkweed",185,0.6646,122.951,47,"40",1.04,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"130","ASTU","NWMHRC",2015,30,4,"Asclepias tuberosa","Butterfly Milkweed",158,0.6646,105.0068,58.5,"40",1.04,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"131","ASTU","CRC",2015,30,4,"Asclepias tuberosa","Butterfly Milkweed",121,0.6646,80.4166,46,"50",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"132","ASTU","SWMREC",2015,30,4,"Asclepias tuberosa","Butterfly Milkweed",89,0.6646,59.1494,46.5,"35",0.64,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"133","ASTU","SWMREC",2016,28,1,"Asclepias tuberosa","Butterfly Milkweed",225,0.6646,149.535,54,"75",0.64,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"134","ASTU","CRC",2015,32,3,"Asclepias tuberosa","Butterfly Milkweed",280,0.6646,186.088,43,"35",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"135","ASTU","NWMHRC",2015,29,3,"Asclepias tuberosa","Butterfly Milkweed",99,0.6646,65.7954,48,"30",1.04,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"136","ASTU","CRC",2016,27,1,"Asclepias tuberosa","Butterfly Milkweed",1892,0.6646,1257.4232,50.5,"75",0.96,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
