week_num,site,year,block,plant_sp,species,common.NAme,tot_flw,avg_flor_area,tot_flor_area,avg_tall_flw,per_tar_cov,tot_hb,tol_syr
29,CRC,2016,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,3609.6,0.6646,2398.94016,75,90,2,0
29,CRC,2016,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,816,0.6646,542.3136,54.5,80,1,0
29,NWMHRC,2016,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,1510.6,0.6646,1003.94476,52,50,2,0
29,NWMHRC,2016,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,765.6,0.6646,508.81776,48,20,3,0
29,NWMHRC,2016,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,1231.2,0.6646,818.25552,53,40,2,0
29,NWMHRC,2016,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,696,0.6646,462.5616,53,25,0,0
29,SWMREC,2015,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,33,0.6646,21.9318,48,30,0,0
29,SWMREC,2015,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,70,0.6646,46.522,46,25,0,0
29,SWMREC,2015,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,27,0.6646,17.9442,47,15,0,0
29,NWMHRC,2015,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,243.6,0.6646,161.89656,54,35,0,0
29,NWMHRC,2015,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,102,0.6646,67.7892,51,30,0,0
29,NWMHRC,2015,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,99,0.6646,65.7954,48,30,0,0
30,SWMREC,2015,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,89,0.6646,59.1494,46.5,35,0,0
30,SWMREC,2015,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,55,0.6646,36.553,51,10,0,0
30,SWMREC,2015,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,48,0.6646,31.9008,45,15,0,0
30,SWMREC,2015,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,60,0.6646,39.876,39,35,0,0
